ARG,P,H,sig,Mild,Mod,Sev,trend,q,fdr_sig
streptothricin,0.1776964411298616,3.4553571428572023,,0.0,0.0,2.1298649351061933e-05,NONLINEAR,0.36796436314470443,
AGMBA,0.17825076045165822,3.4491279069767415,,0.00931352995574252,0.009113575634800775,0.006636968717422165,DOWN,0.36796436314470443,
DF,0.1789828253460835,3.440930851063817,,0.0004808805210930048,0.000391165858844982,0.0009545960599365936,NONLINEAR,0.36796436314470443,
CP,0.18165329319801865,3.411310782241003,,0.0021469805289732777,0.0016908248754228105,0.002234548078083729,NONLINEAR,0.36796436314470443,
fosfomycin,0.18736679436624729,3.349374232186726,,0.00017991777151680116,0.00030547786974224124,0.00034338568380525144,UP,0.37004941887333836,
LSM,0.193478823978931,3.2851744186046687,,0.07006158318656082,0.07158958570417825,0.07784899179278731,UP,0.37280066083745245,
TPNKSDGL,0.20729704816850084,3.1472049981209955,,4.0388521066389194e-05,0.00012226759766238544,7.012780240306295e-05,NONLINEAR,0.3769399563090386,
hygromycin_b,0.20827134715572954,3.137826991676525,,2.707735027227171e-05,0.0,1.3943112102621306e-05,NONLINEAR,0.3769399563090386,
vancomycin,0.20994124148857846,3.1218551797040277,,0.09628073486960634,0.09249171299184782,0.09981444948547946,NONLINEAR,0.3769399563090386,
CCP,0.2288671183228069,2.9492274263640477,,3.607049395358087e-05,8.44005167083308e-05,4.518055353120508e-05,NONLINEAR,0.4017889410555943,
streptogramin_a,0.24061335895279043,2.8491279069767472,,0.012356193388369262,0.011422080914209827,0.012936786716545497,NONLINEAR,0.40260997683226984,
DE,0.24256701100726005,2.832954545454527,,0.0017027335477664822,0.002019921063621907,0.0015231515878516302,NONLINEAR,0.40260997683226984,
VT,0.2446237833917589,2.8160676532769457,,0.08112866642836054,0.076565892097559,0.07581059578973204,DOWN,0.40260997683226984,
MPCCCC,0.2563190081401774,2.722664969450084,,9.437320280726787e-05,0.00014112477462998774,0.00019672546109009365,UP,0.4088604637307398,
MP,0.2587724453992024,2.703612385321136,,8.04084750532706e-06,2.7039188425151675e-05,3.932061271536205e-05,UP,0.4088604637307398,
AG,0.2686986184819942,2.628329809725159,,0.0020094889640665382,0.0018265545271034698,0.0015574517078619991,DOWN,0.41621942862897143,
trimethoprim,0.29359083994726065,2.4511363636363797,,0.004037304223322723,0.003594029610614912,0.00347881829849982,DOWN,0.44603223761218447,
TKSDG,0.3410306548886761,2.151565817409752,,0.00022439817479590494,0.00037219158723047477,0.00035400776422239016,NONLINEAR,0.5002456783842852,
streptogramin_b,0.34556335481903305,2.125158562367858,,0.0006767598673845079,0.0006239527782993765,0.0008683189161347847,NONLINEAR,0.5002456783842852,
MENP,0.3482723077358948,2.1095412234042685,,0.0002452970481609947,0.00016685438447682055,0.0002527507531752291,NONLINEAR,0.5002456783842852,
macrolide,0.4146426282934981,1.760676532769537,,0.27537049922987467,0.28440553800225793,0.2698566316697426,NONLINEAR,0.5849422791997562,
TK,0.4260597035545751,1.7063515866872059,,9.669192438180357e-06,0.0,8.949026345933563e-06,NONLINEAR,0.5885418694170029,
penicillin,0.4320940307112173,1.6782241014799126,,0.04631249282311959,0.04227559223985549,0.04625330428227187,NONLINEAR,0.5885418694170029,
CN,0.45247163783274746,1.5860603932584265,,7.015194091155376e-05,3.847599273848511e-05,8.824940649987925e-05,NONLINEAR,0.6058518540472382,
tetracycline,0.5096949254972085,1.347885835095127,,0.06569761631518853,0.0650744174921247,0.07415224370161883,NONLINEAR,0.6705493070007388,
TAP,0.5177659205955072,1.316464059196619,,0.0011926993490292022,0.0014462186908319543,0.0011890320706796765,NONLINEAR,0.6705493070007388,
CAN,0.6023056669519025,1.0139804202483107,,0.0001093578241251006,0.00011288044277075728,0.00016612722609078928,UP,0.7645244850308685,
aminoglycoside,0.6096840829993002,0.9896287053841343,,0.0006345489422578099,0.0005528519501736626,0.0005450138192008636,DOWN,0.7645244850308685,
neomycin,0.6390088733233991,0.8956738768718304,,2.295420635831516e-05,2.5311819837613527e-05,3.960129217798824e-05,UP,0.7887765780085707,
NT6DG,0.6627336028309958,0.8227643504531624,,0.0006240157242960037,0.0005522316977138558,0.000778525949901492,NONLINEAR,0.8054762249792102,
paromomycin,0.7007898318555028,0.711094497607652,,0.00010296467739349817,0.00010265668472900099,0.000133487331180425,NONLINEAR,0.8254619428935711,
CF,0.702540431578928,0.7061046511627751,,0.021482592958132266,0.023840472924340595,0.020840236518295578,NONLINEAR,0.8254619428935711,
NTSDGA,0.7105242040096562,0.6835045317220628,,0.0005832901295745962,0.000579225699161571,0.0004631779705676312,DOWN,0.8254619428935711,
INTASD,0.746343253369935,0.5851393188854528,,0.00042357855885282266,0.0004579320684468132,0.00044293176362133666,NONLINEAR,0.847559577313897,
CDFP,0.7510021571135795,0.5726935098009003,,0.000163303710798012,0.0001785177207519927,0.00026732228523424135,UP,0.847559577313897,
SS,0.8126991343862234,0.414788612664333,,0.0003969263802962031,0.0004489955620788522,0.0003544243226882419,NONLINEAR,0.900081477543561,
fusidic_acid,0.8336535753842906,0.36387468030694703,,3.91500267315726e-05,2.872097310013022e-05,3.0401056337934225e-05,NONLINEAR,0.900081477543561,
viomycin,0.8363621887230415,0.3573870392389963,,4.805497489127562e-06,1.5012310094277307e-05,1.5012974151160547e-05,UP,0.900081477543561,
fluoroquinolone,0.8431142954205508,0.34130549682873834,,0.00799699993063079,0.008158420527545736,0.007233859271108514,NONLINEAR,0.900081477543561,
beta_lactam,0.8743256936186465,0.2686046511627751,,0.0007623728109066465,0.0006933169113883262,0.0008305958811847919,NONLINEAR,0.9209563972783077,
BPNKR,0.9036476254158715,0.2026315789473705,,7.225950163094483e-05,7.988804689238798e-05,7.55941977344053e-05,NONLINEAR,0.9393179264191296,
thiostrepton,0.9240853461285287,0.15790169133191512,,0.001849416385750978,0.0016879160615830152,0.0016487233272616977,DOWN,0.9480875629110879,
teicoplanin,0.9770547808411121,0.046425116099023896,,6.521242948906061e-06,1.1018555247036009e-05,1.6668889185224698e-05,UP,0.9871835760228485,
PNR,0.9871835760228485,0.025798525798525186,,0.00017207364056494526,0.00016119811966608868,0.0001804352879814553,NONLINEAR,0.9871835760228485,
